uf_sigla;municipio_nome;setor_nome;ano;num_pessoas_empregadas
RO;ALTA FLORESTA D OESTE;Agropecuária;2020;376
RO;ARIQUEMES;Agropecuária;2020;1066
RO;CABIXI;Agropecuária;2020;152
RO;CACOAL;Agropecuária;2020;481
RO;CEREJEIRAS;Agropecuária;2020;213
RO;COLORADO DO OESTE;Agropecuária;2020;160
RO;CORUMBIARA;Agropecuária;2020;745
RO;COSTA MARQUES;Agropecuária;2020;100
RO;ESPIGAO D OESTE;Agropecuária;2020;427
RO;GUAJARA-MIRIM;Agropecuária;2020;66
RO;JARU;Agropecuária;2020;359
RO;JI-PARANA;Agropecuária;2020;612
RO;MACHADINHO D OESTE;Agropecuária;2020;209
RO;NOVA BRASILANDIA D OESTE;Agropecuária;2020;65
RO;OURO PRETO DO OESTE;Agropecuária;2020;277
RO;PIMENTA BUENO;Agropecuária;2020;557
RO;PORTO VELHO;Agropecuária;2020;1021
RO;PRESIDENTE MEDICI;Agropecuária;2020;204
RO;RIO CRESPO;Agropecuária;2020;353
RO;ROLIM DE MOURA;Agropecuária;2020;340
RO;SANTA LUZIA D OESTE;Agropecuária;2020;214
RO;VILHENA;Agropecuária;2020;1279
RO;SAO MIGUEL DO GUAPORE;Agropecuária;2020;194
RO;NOVA MAMORE;Agropecuária;2020;140
RO;ALVORADA D OESTE;Agropecuária;2020;121
RO;ALTO ALEGRE DOS PARECIS;Agropecuária;2020;111
RO;ALTO PARAISO;Agropecuária;2020;154
RO;BURITIS;Agropecuária;2020;169
RO;NOVO HORIZONTE DO OESTE;Agropecuária;2020;51
RO;CACAULANDIA;Agropecuária;2020;125
RO;CAMPO NOVO DE RONDONIA;Agropecuária;2020;157
RO;CANDEIAS DO JAMARI;Agropecuária;2020;314
RO;CASTANHEIRAS;Agropecuária;2020;128
RO;CHUPINGUAIA;Agropecuária;2020;827
RO;CUJUBIM;Agropecuária;2020;161
RO;GOVERNADOR JORGE TEIXEIRA;Agropecuária;2020;52
RO;ITAPUA DO OESTE;Agropecuária;2020;119
RO;MINISTRO ANDREAZZA;Agropecuária;2020;32
RO;MIRANTE DA SERRA;Agropecuária;2020;35
RO;MONTE NEGRO;Agropecuária;2020;129
RO;NOVA UNIAO;Agropecuária;2020;12
RO;PARECIS;Agropecuária;2020;257
RO;PIMENTEIRAS DO OESTE;Agropecuária;2020;341
RO;PRIMAVERA DE RONDONIA;Agropecuária;2020;65
RO;SAO FELIPE D OESTE;Agropecuária;2020;111
RO;SAO FRANCISCO DO GUAPORE;Agropecuária;2020;253
RO;SERINGUEIRAS;Agropecuária;2020;77
RO;TEIXEIROPOLIS;Agropecuária;2020;22
RO;THEOBROMA;Agropecuária;2020;188
RO;URUPA;Agropecuária;2020;49
RO;VALE DO ANARI;Agropecuária;2020;48
RO;VALE DO PARAISO;Agropecuária;2020;60
AC;ACRELANDIA;Agropecuária;2020;108
AC;ASSIS BRASIL;Agropecuária;2020;3
AC;BRASILEIA;Agropecuária;2020;56
AC;BUJARI;Agropecuária;2020;286
AC;CAPIXABA;Agropecuária;2020;124
AC;CRUZEIRO DO SUL;Agropecuária;2020;87
AC;EPITACIOLANDIA;Agropecuária;2020;12
AC;FEIJO;Agropecuária;2020;41
AC;JORDAO;Agropecuária;2020;0
AC;MANCIO LIMA;Agropecuária;2020;29
AC;MANOEL URBANO;Agropecuária;2020;4
AC;MARECHAL THAUMATURGO;Agropecuária;2020;1
AC;PLACIDO DE CASTRO;Agropecuária;2020;113
AC;PORTO WALTER;Agropecuária;2020;0
AC;RIO BRANCO;Agropecuária;2020;1072
AC;RODRIGUES ALVES;Agropecuária;2020;7
AC;SANTA ROSA DO PURUS;Agropecuária;2020;0
AC;SENADOR GUIOMARD;Agropecuária;2020;481
AC;SENA MADUREIRA;Agropecuária;2020;284
AC;TARAUACA;Agropecuária;2020;116
AC;XAPURI;Agropecuária;2020;152
AC;PORTO ACRE;Agropecuária;2020;215
AM;ALVARAES;Agropecuária;2020;0
AM;AMATURA;Agropecuária;2020;0
AM;ANAMA;Agropecuária;2020;0
AM;ANORI;Agropecuária;2020;0
AM;APUI;Agropecuária;2020;10
AM;ATALAIA DO NORTE;Agropecuária;2020;0
AM;AUTAZES;Agropecuária;2020;12
AM;BARCELOS;Agropecuária;2020;0
AM;BARREIRINHA;Agropecuária;2020;0
AM;BENJAMIN CONSTANT;Agropecuária;2020;0
AM;BERURI;Agropecuária;2020;0
AM;BOA VISTA DO RAMOS;Agropecuária;2020;0
AM;BOCA DO ACRE;Agropecuária;2020;383
AM;BORBA;Agropecuária;2020;0
AM;CAAPIRANGA;Agropecuária;2020;0
AM;CANUTAMA;Agropecuária;2020;24
AM;CARAUARI;Agropecuária;2020;10
AM;CAREIRO;Agropecuária;2020;4
AM;CAREIRO DA VARZEA;Agropecuária;2020;0
AM;COARI;Agropecuária;2020;4
