uf_sigla;municipio_cod;municipio_nome;setor_nome;ano;num_pessoas_empregadas
RO;110001;Alta Floresta D'Oeste;Agropecuária;2020;376
RO;110002;Ariquemes;Agropecuária;2020;1066
RO;110003;Cabixi;Agropecuária;2020;152
RO;110004;Cacoal;Agropecuária;2020;481
RO;110005;Cerejeiras;Agropecuária;2020;213
RO;110006;Colorado do Oeste;Agropecuária;2020;160
RO;110007;Corumbiara;Agropecuária;2020;745
RO;110008;Costa Marques;Agropecuária;2020;100
RO;110110;Itapuã do Oeste;Agropecuária;2020;427
RO;110010;Guajará-Mirim;Agropecuária;2020;66
RO;110011;Jaru;Agropecuária;2020;359
RO;110012;Ji-Paraná;Agropecuária;2020;612
RO;110013;Machadinho D'Oeste;Agropecuária;2020;209
RO;110014;Nova Brasilândia D'Oeste;Agropecuária;2020;65
RO;110015;Ouro Preto do Oeste;Agropecuária;2020;277
RO;110018;Pimenta Bueno;Agropecuária;2020;557
RO;110020;Porto Velho;Agropecuária;2020;1021
RO;110025;Presidente Médici;Agropecuária;2020;204
RO;110026;Rio Crespo;Agropecuária;2020;353
RO;110028;Rolim de Moura;Agropecuária;2020;340
RO;110029;Santa Luzia D'Oeste;Agropecuária;2020;214
RO;110030;Vilhena;Agropecuária;2020;1279
RO;110032;São Miguel do Guaporé;Agropecuária;2020;194
RO;110033;Nova Mamoré;Agropecuária;2020;140
RO;110034;Alvorada D'Oeste;Agropecuária;2020;121
RO;110037;Alto Alegre dos Parecis;Agropecuária;2020;111
RO;110040;Alto Paraíso;Agropecuária;2020;154
RO;110045;Buritis;Agropecuária;2020;169
RO;110050;Novo Horizonte do Oeste;Agropecuária;2020;51
RO;110060;Cacaulândia;Agropecuária;2020;125
RO;110070;Campo Novo de Rondônia;Agropecuária;2020;157
RO;110080;Candeias do Jamari;Agropecuária;2020;314
RO;110090;Castanheiras;Agropecuária;2020;128
RO;110092;Chupinguaia;Agropecuária;2020;827
RO;110094;Cujubim;Agropecuária;2020;161
RO;110100;Governador Jorge Teixeira;Agropecuária;2020;52
RO;110110;Itapuã do Oeste;Agropecuária;2020;119
RO;110120;Ministro Andreazza;Agropecuária;2020;32
RO;110130;Mirante da Serra;Agropecuária;2020;35
RO;110140;Monte Negro;Agropecuária;2020;129
RO;110143;Nova União;Agropecuária;2020;12
RO;110145;Parecis;Agropecuária;2020;257
RO;110146;Pimenteiras do Oeste;Agropecuária;2020;341
RO;110147;Primavera de Rondônia;Agropecuária;2020;65
RO;110148;São Felipe D'Oeste;Agropecuária;2020;111
RO;110149;São Francisco do Guaporé;Agropecuária;2020;253
RO;110150;Seringueiras;Agropecuária;2020;77
RO;110155;Teixeirópolis;Agropecuária;2020;22
RO;110160;Theobroma;Agropecuária;2020;188
RO;110170;Urupá;Agropecuária;2020;49
RO;110175;Vale do Anari;Agropecuária;2020;48
RO;110180;Vale do Paraíso;Agropecuária;2020;60
AC;120001;Acrelândia;Agropecuária;2020;108
AC;120005;Assis Brasil;Agropecuária;2020;3
AC;120010;Brasiléia;Agropecuária;2020;56
AC;120013;Bujari;Agropecuária;2020;286
AC;120017;Capixaba;Agropecuária;2020;124
AC;120020;Cruzeiro do Sul;Agropecuária;2020;87
AC;120025;Epitaciolândia;Agropecuária;2020;12
AC;120030;Feijó;Agropecuária;2020;41
AC;120032;Jordão;Agropecuária;2020;0
AC;120033;Mâncio Lima;Agropecuária;2020;29
AC;120034;Manoel Urbano;Agropecuária;2020;4
AC;120035;Marechal Thaumaturgo;Agropecuária;2020;1
AC;120038;Plácido de Castro;Agropecuária;2020;113
AC;120039;Porto Walter;Agropecuária;2020;0
AC;120040;Rio Branco;Agropecuária;2020;1072
AC;120042;Rodrigues Alves;Agropecuária;2020;7
AC;120043;Santa Rosa do Purus;Agropecuária;2020;0
AC;120045;Senador Guiomard;Agropecuária;2020;481
AC;120050;Sena Madureira;Agropecuária;2020;284
AC;120060;Tarauacá;Agropecuária;2020;116
AC;120070;Xapuri;Agropecuária;2020;152
AC;120080;Porto Acre;Agropecuária;2020;215
AM;130002;Alvarães;Agropecuária;2020;0
AM;130006;Amaturá;Agropecuária;2020;0
AM;130008;Anamã;Agropecuária;2020;0
AM;130010;Anori;Agropecuária;2020;0
AM;130014;Apuí;Agropecuária;2020;10
AM;130020;Atalaia do Norte;Agropecuária;2020;0
AM;130030;Autazes;Agropecuária;2020;12
AM;130040;Barcelos;Agropecuária;2020;0
AM;130050;Barreirinha;Agropecuária;2020;0
AM;130060;Benjamin Constant;Agropecuária;2020;0
AM;130063;Beruri;Agropecuária;2020;0
AM;130068;Boa Vista do Ramos;Agropecuária;2020;0
AM;130070;Boca do Acre;Agropecuária;2020;383
AM;130080;Borba;Agropecuária;2020;0
AM;130083;Caapiranga;Agropecuária;2020;0
AM;130090;Canutama;Agropecuária;2020;24
AM;130100;Carauari;Agropecuária;2020;10
AM;130110;Careiro;Agropecuária;2020;4
AM;130115;Careiro da Várzea;Agropecuária;2020;0
AM;130120;Coari;Agropecuária;2020;4
AM;130130;Codajás;Agropecuária;2020;0
AM;130140;Eirunepé;Agropecuária;2020;0
AM;130150;Envira;Agropecuária;2020;2
AM;130160;Fonte Boa;Agropecuária;2020;0
AM;130165;Guajará;Agropecuária;2020;27
AM;130170;Humaitá;Agropecuária;2020;64
AM;130180;Ipixuna;Agropecuária;2020;1
AM;130185;Iranduba;Agropecuária;2020;146
AM;130190;Itacoatiara;Agropecuária;2020;75
AM;130195;Itamarati;Agropecuária;2020;0
AM;130200;Itapiranga;Agropecuária;2020;0
AM;130210;Japurá;Agropecuária;2020;2
AM;130220;Juruá;Agropecuária;2020;1
AM;130230;Jutaí;Agropecuária;2020;0
AM;130240;Lábrea;Agropecuária;2020;144
AM;130250;Manacapuru;Agropecuária;2020;132
AM;130255;Manaquiri;Agropecuária;2020;0
AM;130260;Manaus;Agropecuária;2020;1186
AM;130270;Manicoré;Agropecuária;2020;24
AM;130280;Maraã;Agropecuária;2020;0
AM;130290;Maués;Agropecuária;2020;14
AM;130300;Nhamundá;Agropecuária;2020;0
AM;130310;Nova Olinda do Norte;Agropecuária;2020;0
AM;130320;Novo Airão;Agropecuária;2020;1
AM;130330;Novo Aripuanã;Agropecuária;2020;3
AM;130340;Parintins;Agropecuária;2020;6
AM;130350;Pauini;Agropecuária;2020;0
AM;130353;Presidente Figueiredo;Agropecuária;2020;812
AM;130356;Rio Preto da Eva;Agropecuária;2020;152
AM;130360;Santa Isabel do Rio Negro;Agropecuária;2020;0
AM;130370;Santo Antônio do Içá;Agropecuária;2020;1
AM;130380;São Gabriel da Cachoeira;Agropecuária;2020;0
AM;130390;São Paulo de Olivença;Agropecuária;2020;0
AM;130395;São Sebastião do Uatumã;Agropecuária;2020;0
AM;130400;Silves;Agropecuária;2020;0
AM;130406;Tabatinga;Agropecuária;2020;3
AM;130410;Tapauá;Agropecuária;2020;1
AM;130420;Tefé;Agropecuária;2020;1
AM;130423;Tonantins;Agropecuária;2020;0
AM;130426;Uarini;Agropecuária;2020;0
AM;130430;Urucará;Agropecuária;2020;6
AM;130440;Urucurituba;Agropecuária;2020;0
RR;140002;Amajari;Agropecuária;2020;59
RR;140005;Alto Alegre;Agropecuária;2020;104
RR;140010;Boa Vista;Agropecuária;2020;530
RR;140015;Bonfim;Agropecuária;2020;341
RR;140017;Cantá;Agropecuária;2020;59
RR;140020;Caracaraí;Agropecuária;2020;69
RR;140023;Caroebe;Agropecuária;2020;25
RR;140028;Iracema;Agropecuária;2020;20
RR;140030;Mucajaí;Agropecuária;2020;114
RR;140040;Normandia;Agropecuária;2020;40
RR;140045;Pacaraima;Agropecuária;2020;0
RR;140047;Rorainópolis;Agropecuária;2020;206
RR;140050;São João da Baliza;Agropecuária;2020;7
RR;140060;São Luiz;Agropecuária;2020;14
RR;140070;Uiramutã;Agropecuária;2020;0
PA;150010;Abaetetuba;Agropecuária;2020;212
PA;150013;Abel Figueiredo;Agropecuária;2020;80
PA;150020;Acará;Agropecuária;2020;1240
PA;150030;Afuá;Agropecuária;2020;0
PA;150034;Água Azul do Norte;Agropecuária;2020;650
PA;150040;Alenquer;Agropecuária;2020;17
PA;150050;Almeirim;Agropecuária;2020;466
PA;150060;Altamira;Agropecuária;2020;435
PA;150070;Anajás;Agropecuária;2020;0
PA;150080;Ananindeua;Agropecuária;2020;2287
PA;150085;Anapu;Agropecuária;2020;52
PA;150090;Augusto Corrêa;Agropecuária;2020;4
PA;150095;Aurora do Pará;Agropecuária;2020;190
PA;150100;Aveiro;Agropecuária;2020;45
PA;150110;Bagre;Agropecuária;2020;0
PA;150120;Baião;Agropecuária;2020;48
PA;150125;Bannach;Agropecuária;2020;311
PA;150130;Barcarena;Agropecuária;2020;13
PA;150140;Belém;Agropecuária;2020;1154
PA;150145;Belterra;Agropecuária;2020;518
PA;150150;Benevides;Agropecuária;2020;426
PA;150157;Bom Jesus do Tocantins;Agropecuária;2020;175
PA;150160;Bonito;Agropecuária;2020;72
PA;150170;Bragança;Agropecuária;2020;119
PA;150172;Brasil Novo;Agropecuária;2020;21
PA;150175;Brejo Grande do Araguaia;Agropecuária;2020;143
PA;150178;Breu Branco;Agropecuária;2020;416
PA;150180;Breves;Agropecuária;2020;7
PA;150190;Bujaru;Agropecuária;2020;79
PA;150195;Cachoeira do Piriá;Agropecuária;2020;8
PA;150200;Cachoeira do Arari;Agropecuária;2020;38
PA;150210;Cametá;Agropecuária;2020;1
PA;150215;Canaã dos Carajás;Agropecuária;2020;228
