uf_nome;ano;media_remuneracao
Rondônia;2020;3,317.01
Acre;2020;3,684.06
Amazonas;2020;3,619.58
Roraima;2020;4,001.11
Pará;2020;3,285.76
Amapá;2020;4,994.96
Tocantins;2020;3,542.29
Maranhão;2020;3,010.15
Piauí;2020;3,098.58
Ceará;2020;2,878.36
Rio Grande do Norte;2020;3,156.14
Paraíba;2020;2,804.48
Pernambuco;2020;3,064.00
Alagoas;2020;2,848.18
Sergipe;2020;3,191.95
Bahia;2020;3,053.34
Minas Gerais;2020;3,115.67
Espírito Santo;2020;3,188.21
Rio de Janeiro;2020;4,157.87
São Paulo;2020;3,978.56
Paraná;2020;3,470.01
Santa Catarina;2020;3,404.16
Rio Grande do Sul;2020;3,619.01
Mato Grosso do Sul;2020;3,451.41
Mato Grosso;2020;3,535.85
Goiás;2020;3,245.43
Distrito Federal;2020;6,516.74
Rondônia;2021;2,952.73
Acre;2021;4,912.80
Amazonas;2021;3,288.85
Roraima;2021;3,716.91
Pará;2021;3,124.93
Amapá;2021;4,403.77
Tocantins;2021;3,282.19
Maranhão;2021;2,871.70
Piauí;2021;2,849.09
Ceará;2021;2,592.12
Rio Grande do Norte;2021;2,927.92
Paraíba;2021;2,711.03
Pernambuco;2021;2,906.56
Alagoas;2021;2,677.79
Sergipe;2021;2,903.79
Bahia;2021;2,840.82
Minas Gerais;2021;3,043.20
Espírito Santo;2021;3,005.18
Rio de Janeiro;2021;4,042.02
São Paulo;2021;3,942.82
Paraná;2021;3,301.53
Santa Catarina;2021;3,273.25
Rio Grande do Sul;2021;3,454.36
Mato Grosso do Sul;2021;3,326.10
Mato Grosso;2021;3,421.28
Goiás;2021;3,106.54
Distrito Federal;2021;6,165.01
