uf_nome;ano;media_remuneracao;uf_sigla
Rondônia;2020;3317.01;RO
Acre;2020;3684.06;AC
Amazonas;2020;3619.58;AM
Roraima;2020;4001.11;RR
Pará;2020;3285.76;PA
Amapá;2020;4994.96;AP
Tocantins;2020;3542.29;TO
Maranhão;2020;3010.15;MA
Piauí;2020;3098.58;PI
Ceará;2020;2878.36;CE
Rio Grande do Norte;2020;3156.14;RN
Paraíba;2020;2804.48;PB
Pernambuco;2020;3064.00;PE
Alagoas;2020;2848.18;AL
Sergipe;2020;3191.95;SE
Bahia;2020;3053.34;BA
Minas Gerais;2020;3115.67;MG
Espírito Santo;2020;3188.21;ES
Rio de Janeiro;2020;4157.87;RJ
São Paulo;2020;3978.56;SP
Paraná;2020;3470.01;PR
Santa Catarina;2020;3404.16;SC
Rio Grande do Sul;2020;3619.01;RS
Mato Grosso do Sul;2020;3451.41;MS
Mato Grosso;2020;3535.85;MT
Goiás;2020;3245.43;GO
Distrito Federal;2020;6516.74;DF
Rondônia;2021;2952.73;RO
Acre;2021;4912.80;AC
Amazonas;2021;3288.85;AM
Roraima;2021;3716.91;RR
Pará;2021;3124.93;PA
Amapá;2021;4403.77;AP
Tocantins;2021;3282.19;TO
Maranhão;2021;2871.70;MA
Piauí;2021;2849.09;PI
Ceará;2021;2592.12;CE
Rio Grande do Norte;2021;2927.92;RN
Paraíba;2021;2711.03;PB
Pernambuco;2021;2906.56;PE
Alagoas;2021;2677.79;AL
Sergipe;2021;2903.79;SE
Bahia;2021;2840.82;BA
Minas Gerais;2021;3043.20;MG
Espírito Santo;2021;3005.18;ES
Rio de Janeiro;2021;4042.02;RJ
São Paulo;2021;3942.82;SP
Paraná;2021;3301.53;PR
Santa Catarina;2021;3273.25;SC
Rio Grande do Sul;2021;3454.36;RS
Mato Grosso do Sul;2021;3326.10;MS
Mato Grosso;2021;3421.28;MT
Goiás;2021;3106.54;GO
Distrito Federal;2021;6165.01;DF
Rondônia;2022;3.49761;RO
Acre;2022;3.60315;AC
Amazonas;2022;3.68711;AM
Roraima;2022;3.51449;RR
Pará;2022;3.60928;PA
Amapá;2022;4.91728;AP
Tocantins;2022;3.60996;TO
Maranhão;2022;3.11942;MA
Piauí;2022;3.10565;PI
Ceará;2022;3.10226;CE
Rio Grande do Norte;2022;3.25023;RN
Paraíba;2022;2.94285;PB
Pernambuco;2022;3.18572;PE
Alagoas;2022;3.05341;AL
Sergipe;2022;3.28743;SE
Bahia;2022;3.15103;BA
Minas Gerais;2022;3.30080;MG
Espírito Santo;2022;3.29652;ES
Rio de Janeiro;2022;4.37489;RJ
São Paulo;2022;4.42053;SP
Paraná;2022;3.74369;PR
Santa Catarina;2022;3.77050;SC
Rio Grande do Sul;2022;3.89195;RS
Mato Grosso do Sul;2022;3.74025;MS
Mato Grosso;2022;3.84103;MT
Goiás;2022;3.47061;GO
Distrito Federal;2022;7.07416;DF
Rondônia;2023;3.42773;RO
Acre;2023;4.05822;AC
Amazonas;2023;3.91999;AM
Roraima;2023;3.71651;RR
Pará;2023;3.36671;PA
Amapá;2023;3.61645;AP
Tocantins;2023;3.30207;TO
Maranhão;2023;3.13474;MA
Piauí;2023;3.31484;PI
Ceará;2023;2.96617;CE
Rio Grande do Norte;2023;3.15385;RN
Paraíba;2023;2.97725;PB
Pernambuco;2023;3.23240;PE
Alagoas;2023;3.11936;AL
Sergipe;2023;3.38229;SE
Bahia;2023;3.47567;BA
Minas Gerais;2023;3.40008;MG
Espírito Santo;2023;3.43031;ES
Rio de Janeiro;2023;4.27275;RJ
São Paulo;2023;4.51206;SP
Paraná;2023;3.88165;PR
Santa Catarina;2023;4.01246;SC
Rio Grande do Sul;2023;3.89199;RS
Mato Grosso do Sul;2023;3.96808;MS
Mato Grosso;2023;3.64335;MT
Goiás;2023;3.38065;GO
Distrito Federal;2023;6.27666;DF
