,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RAIS - Divulgação: Dezembro de 2024,,,,,
,,,,,,
,Ano: 2023,,,,,
,,,,,,
,,,,,,
,Indicadores,,2022,2023,Variação Absoluta,Variação Relativa
,Quantidade Total de Estabelecimentos,,8.453.190,11.427.555,2.974.365,"35,2%"
,Estabelecimentos Declarantes,,,,,
,Quantidade de Estabelecimentos,RAIS Negativa,4.004.271,6.865.999,2.861.728,"71,5%"
,,RAIS com Vínculo,4.448.919,4.561.556,112.637,"2,5%"
,Região e UF,,,,,
,Quantidade de Estabelecimentos com Vínculo,Brasil,4.448.919,4.561.556,112.637,"2,5%"
,,Norte,217.621,228.349,10.728,"4,9%"
,,Rondônia,42.075,43.451,1.376,"3,3%"
,,Acre,10.703,11.201,498,"4,7%"
,,Amazonas,31.057,32.663,1.606,"5,2%"
,,Roraima,8.036,8.611,575,"7,2%"
,,Pará,82.623,87.050,4.427,"5,4%"
,,Amapá,7.919,8.525,606,"7,7%"
,,Tocantins,35.208,36.848,1.640,"4,7%"
,,Nordeste,743.774,773.464,29.690,"4,0%"
,,Maranhão,57.898,61.365,3.467,"6,0%"
,,Piauí,42.641,44.830,2.189,"5,1%"
,,Ceará,115.072,118.798,3.726,"3,2%"
,,Rio Grande do Norte,56.482,58.737,2.255,"4,0%"
,,Paraíba,56.031,58.140,2.109,"3,8%"
,,Pernambuco,127.720,133.013,5.293,"4,1%"
,,Alagoas,39.987,41.974,1.987,"5,0%"
,,Sergipe,33.545,35.243,1.698,"5,1%"
,,Bahia,214.398,221.364,6.966,"3,2%"
,,Sudeste,2.076.640,2.118.734,42.094,"2,0%"
,,Minas Gerais,569.143,580.624,11.481,"2,0%"
,,Espírito Santo,97.994,100.856,2.862,"2,9%"
,,Rio de Janeiro,297.234,304.247,7.013,"2,4%"
,,São Paulo,1.112.269,1.133.007,20.738,"1,9%"
,,Sul,933.584,946.643,13.059,"1,4%"
,,Paraná,349.029,355.053,6.024,"1,7%"
,,Santa Catarina,266.440,270.183,3.743,"1,4%"
,,Rio Grande do Sul,318.115,321.407,3.292,"1,0%"
,,Centro-Oeste,477.120,494.149,17.029,"3,6%"
,,Mato Grosso do Sul,86.152,88.637,2.485,"2,9%"
,,Mato Grosso,119.074,123.372,4.298,"3,6%"
,,Goiás,195.729,203.251,7.522,"3,8%"
,,Distrito Federal,76.165,78.889,2.724,"3,6%"
,Grupamento de Atividades Econômicas e Seção CNAE 2.0,,,,,
,Quantidade de Estabelecimentos com Vínculo,"Agricultura, pecuária, produção florestal, pesca e aquicultura",357.008,360.084,3.076,"0,9%"
,,Indústria geral,406.320,414.340,8.020,"2,0%"
,,Indústrias Extrativas,8.595,8.748,153,"1,8%"
,,Indústrias de Transformação,380.235,387.598,7.363,"1,9%"
,,Eletricidade e Gás,3.683,3.833,150,"4,1%"
,,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",13.807,14.161,354,"2,6%"
,,Construção,274.806,286.277,11.471,"4,2%"
,,Comércio; reparação de veículos automotores e motocicletas,1.615.525,1.640.362,24.837,"1,5%"
,,Serviços,1.793.380,1.860.492,67.112,"3,7%"
,,"Transporte, armazenagem e correio",186.523,191.652,5.129,"2,7%"
,,Alojamento e alimentação,306.381,317.104,10.723,"3,5%"
,,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",720.617,750.870,30.253,"4,2%"
,,Informação e Comunicação,64.587,65.951,1.364,"2,1%"
,,"Atividades Financeiras, de Seguros e Serviços Relacionados",67.305,68.710,1.405,"2,1%"
,,Atividades Imobiliárias,42.578,44.385,1.807,"4,2%"
,,"Atividades Profissionais, Científicas e Técnicas",200.567,210.517,9.950,"5,0%"
,,Atividades Administrativas e Serviços Complementares,345.580,361.307,15.727,"4,6%"
,,"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais",373.249,390.049,16.800,"4,5%"
,,"Administração Pública, Defesa e Seguridade Social",17.038,19.103,2.065,"12,1%"
,,Educação,103.135,107.546,4.411,"4,3%"
,,Saúde Humana e Serviços Sociais,253.076,263.400,10.324,"4,1%"
,,Outros serviços,205.927,210.321,4.394,"2,1%"
,,"Artes, Cultura, Esporte e Recreação",39.259,42.415,3.156,"8,0%"
,,Outras Atividades de Serviços,166.442,167.627,1.185,"0,7%"
,,Organismos Internacionais e Outras Instituições Extraterritoriais,226,279,53,"23,5%"
,Natureza Jurídica,,,,,
,Quantidade de Estabelecimentos com Vínculo,Setor Público Federal,2.350,2.227,-123,"-5,2%"
,,Setor Público Estadual,1.578,2.541,963,"61,0%"
,,Setor Público Municipal,15.188,17.294,2.106,"13,9%"
,,Setor Público - Outros,363,570,207,"57,0%"
