nome_area_atuacao,media_taxa_desistencia,variacao_remuneracao
Artes e humanidades,41.17,332.30
"Engenharia, produção e construção",47.90,325.95
Computação e Tecnologias da Informação e Comunicação (TIC),49.06,323.36
Serviços,47.67,322.13
"Negócios, administração e direito",48.27,311.22
"Ciências sociais, comunicação e informação",39.79,299.66
"Ciências naturais, matemática e estatística",37.51,299.56
Saúde e bem-estar,39.99,289.39
"Agricultura, silvicultura, pesca e veterinária",36.09,284.05
Educação,39.72,265.10
