uf_nome,variacao_remuneracao,taxa_media_desistencia
Rondônia,180.60,46.86
São Paulo,441.97,45.31
Mato Grosso do Sul,288.84,45.13
Bahia,97.69,43.20
Goiás,225.18,42.85
Santa Catarina,366.34,42.56
Sergipe,95.48,42.20
Espírito Santo,108.31,41.97
Pernambuco,121.72,41.03
Rio Grande do Sul,272.94,40.52
Mato Grosso,305.18,40.51
Distrito Federal,557.42,40.33
Paraíba,138.37,39.84
Alagoas,205.23,39.72
Minas Gerais,185.13,38.50
Tocantins,67.67,37.73
Ceará,223.90,37.48
Paraná,273.68,37.44
Piauí,7.07,34.49
Maranhão,109.27,34.00
Rio de Janeiro,217.02,32.56
Rio Grande do Norte,94.09,32.51
Amazonas,67.53,30.82
Pará,323.52,28.76
