municipio_nome,uf_sigla,setor_nome,ano,num_pessoas_empregadas
Petrolina,PE,Agropecuária,2023,26202
Matão,SP,Agropecuária,2023,9592
Juazeiro,BA,Agropecuária,2023,9161
Sapezal,MT,Agropecuária,2023,7867
Cristalina,GO,Agropecuária,2023,7758
Itapetininga,SP,Agropecuária,2023,7526
Vacaria,RS,Agropecuária,2023,7406
Casa Nova,BA,Agropecuária,2023,6916
Campo Novo do Parecis,MT,Agropecuária,2023,6653
Uberlândia,MG,Agropecuária,2023,6598
São Desidério,BA,Agropecuária,2023,6482
Brasília,DF,Agropecuária,2023,6315
Holambra,SP,Agropecuária,2023,6309
Três Lagoas,MS,Agropecuária,2023,6101
Rio Paranaíba,MG,Agropecuária,2023,5898
Bebedouro,SP,Agropecuária,2023,5792
São Miguel dos Campos,AL,Agropecuária,2023,5786
Sorriso,MT,Agropecuária,2023,5176
Ribas do Rio Pardo,MS,Agropecuária,2023,5067
Primavera do Leste,MT,Agropecuária,2023,5008
